param_SVM__n_iter,test acc,train acc
1,0.42410416018259156,0.4255256401552727
4,0.4069322543832348,0.45211732082068934
7,0.4103382093578172,0.43611723714769846
10,0.44472559394128025,0.47643076035427323
13,0.4718435522357091,0.48395976385064265
16,0.4920603797074385,0.4802735462323041
19,0.3378794480755265,0.3791749085746046
22,0.4462330117232078,0.45279840185315645
25,0.47049590206452957,0.4841207742795634
28,0.47791575889615107,0.45661945933375214
31,0.3930884946571221,0.39158259724859684
34,0.45340491752256457,0.4743498589492933
37,0.42317045336653175,0.4309646667492837
40,0.42992219109866175,0.40383027680230593
43,0.36017014213092646,0.39278769039952016
46,0.42868139848532016,0.4551887076271445
49,0.3898858802780372,0.4383719293209367
52,0.35201576927067124,0.3523978037551222
55,0.46799149289345376,0.4670217634796488
58,0.44151571739807033,0.4664542035382643
61,0.4699273783587509,0.48744006689906855
64,0.4429588131548916,0.4804242795934811
67,0.4386004772279283,0.45777851959576477
70,0.4453076045232909,0.4491705332199706
73,0.4866490299823633,0.4467196300677983
